Start Timestamp;End Timestamp;Transcript
09:19;09:20;"dann steht da"
09:20;09:22;"minus I plus 1"
09:22;09:24;"minus I"
09:24;09:25;"plus 1."
09:25;09:26;"Naja,"
09:26;09:27;"und wenn wir uns das"
09:27;09:28;"jetzt hier mal anschauen,"
09:28;09:29;"sehen wir also,"
09:29;09:30;"die 1 hebt sich raus"
09:30;09:31;"und hier haben wir"
09:31;09:32;"minus I"
09:32;09:33;"minus I."
09:33;09:34;"Das heißt,"
09:34;09:34;"wir bekommen"
09:34;09:36;"minus 2I"
09:36;09:37;"und das ist offensichtlich"
09:37;09:38;"ungleich 0."
09:38;09:40;"Und das bedeutet dann also,"
09:40;09:44;"dass also"
09:44;09:47;"die komplex konjugierte Zahl"
09:47;09:48;"von I plus 1"
09:48;09:49;"keine Nullstelle von P ist."
09:49;09:55;"So,"
09:55;09:56;"das heißt also,"
09:56;09:58;"Satz 7 klappt wirklich nur"
09:58;10:00;"bei reellen Polynomen."
10:00;10:02;"So,"
10:02;10:03;"und jetzt habe ich ja gesagt,"
10:03;10:04;"jetzt hatten wir den Fundamentalsatz"
10:04;10:05;"der Algebra"
10:05;10:07;"und konnten also jedes"
10:07;10:10;"Polynom in Linearfaktoren"
10:10;10:11;"aufteilen,"
10:11;10:12;"aber jetzt möchten wir gerne"
10:12;10:14;"das gleiche bei reellen Polynomen machen"
10:14;10:15;"und zwar auch nur"
10:15;10:17;"mit reellen Werten"
10:17;10:20;"in dieser Faktorisierung."
10:20;10:22;"Jetzt können wir das Resultat"
10:22;10:23;"aus Satz 7"
10:23;10:24;"natürlich verwenden"
10:24;10:26;"und können eine reelle"
10:26;10:27;"Zerlegung angeben."
10:27;10:28;"Das schauen wir uns"
10:28;10:29;"hier auf dieser Folie an."
10:29;10:31;"Wir haben jetzt wieder"
10:31;10:33;"ein Polynom P gegeben."
10:33;10:35;"Das ist real"
10:35;10:36;"mit Grad N"
10:36;10:37;"größer gleich 1."
10:37;10:39;"und dann finden wir"
10:39;10:40;"eine Zerlegung,"
10:40;10:42;"eine eindeutige Zerlegung"
10:42;10:45;"in reelle Linearfaktoren"
10:45;10:46;"und in reelle"
10:46;10:47;"quadratische Faktoren"
10:47;10:49;"ohne reelle Nullstellen"
10:49;10:51;"und zwar in dieser Form."
10:51;10:53;"So,"
10:53;10:54;"das muss man sich erstmal kurz"
10:54;10:54;"anschauen,"
10:54;10:55;"was dort steht."
10:55;10:58;"Das heißt also,"
10:58;10:59;"hier bekommen wir irgendwie"
10:59;11:00;"Linearfaktoren"
11:00;11:01;"und dann bekommen wir hier"
11:01;11:03;"diese quadratischen Ausdrücke."
11:04;11:05;"und auch hier."
11:05;11:07;"Und die Idee hierbei"
11:07;11:08;"ist einfach,"
11:08;11:08;"dass wir"
11:08;11:12;"die reellen Nullstellen,"
11:12;11:13;"die sind kein Problem,"
11:13;11:13;"die können wir natürlich"
11:13;11:14;"abspalten."
11:14;11:16;"Wenn wir aber ein reelles"
11:16;11:17;"Polynom haben"
11:17;11:18;"und wir haben komplexe Nullstellen,"
11:18;11:19;"dann können wir Satz 7"
11:19;11:20;"verwenden und wissen,"
11:20;11:21;"aha,"
11:21;11:23;"die komplex konjugierte Zahl"
11:23;11:24;"ist auch eine Nullstelle"
11:24;11:25;"und die beiden"
11:25;11:27;"fassen wir dann zusammen."
11:27;11:28;"Und die Idee hierbei"
11:28;11:29;"ist wie folgt."
11:29;11:37;"Also Idee,"
11:37;11:40;"wir machen das mal"
11:40;11:42;"ganz allgemein."
11:42;11:44;"Also wir haben jetzt"
11:44;11:45;"zum Beispiel eine Nullstelle"
11:45;11:46;"Z0,"
11:46;11:48;"die schreibe ich mal"
11:48;11:50;"als Alpha plus I Beta"
11:50;11:53;"mit Alpha Beta"
11:53;11:55;"aus den reellen Zahlen."
11:55;11:57;"So,"
11:57;11:58;"und dann betrachten wir mal"
11:58;12:03;"die beiden Ausdrücke"
12:03;12:05;"Z minus Z0"
12:05;12:07;"multipliziert mit"
12:07;12:10;"Z minus Z0 quer."
12:10;12:11;"Ja,"
12:11;12:13;"in der komplexen,"
12:13;12:15;"also bei der Linearfaktorzerlegung"
12:15;12:16;"aus dem Fundamentalsatz,"
12:16;12:18;"wenn also auch komplexe Nullstellen"
12:18;12:18;"erlaubt sind,"
12:18;12:19;"dann hätten wir ja genau"
12:19;12:20;"diesen Ausdruck."
12:20;12:21;"Und die Frage ist jetzt,"
12:21;12:22;"wie können wir diesen"
12:22;12:23;"zusammenfassen?"
12:23;12:24;"Und das führt uns eben genau"
12:24;12:26;"auf diesen Ausdruck hier."
12:26;12:28;"Und das schauen wir uns mal an."
12:28;12:31;"Wenn ich das jetzt ausmultipliziere,"
12:31;12:32;"ja,"
12:32;12:33;"mache ich das einfach mal."
12:33;12:35;"Also Z²"
12:35;12:37;"minus Z0 mal Z"
12:37;12:41;"minus Z mal Z0 quer"
12:41;12:46;"plus Z0 mal Z0 quer."
12:47;12:47;"So,"
12:47;12:48;"das erste,"
12:48;12:48;"das erste,"
12:48;12:48;"das erste,"
12:48;12:57;"das ist ja nichts anderes als Z0 Betrag zum Quadrat."
12:57;12:59;"So,"
12:59;13:00;"wenn wir das jetzt mal zusammenfassen,"
13:00;13:02;"dann steht jetzt hier da"
13:02;13:04;"Z²."
13:04;13:06;"So,"
13:06;13:07;"was habe ich hier noch?"
13:07;13:08;"Hier kann ich das Z ausklammern."
13:09;13:12;"dann steht da minus Z0"
13:12;13:16;"plus Z0 quer mal Z"
13:16;13:22;"plus Z0 Betrag zum Quadrat."
13:22;13:24;"So,"
13:24;13:25;"hier sehen wir noch mal das Z0."
13:25;13:27;"Und wie war denn das?"
13:27;13:31;"Wenn ich Z0 plus Z0 quer schreibe,"
13:31;13:33;"dann ist das sozusagen diese Zahl"
13:33;13:36;"plus Alpha minus I Beta."
13:36;13:37;"Das heißt,"
13:37;13:39;"I Beta hebt sich einfach auf"
13:39;13:41;"und wir bekommen also"
13:41;13:42;"hier"
13:42;13:46;"zweimal Alpha."
13:46;13:48;"Und hier bei dem Betrag"
13:48;13:50;"zum Quadrat"
13:50;13:51;"wissen wir ja auch schon,"
13:51;13:52;"das ist Alpha Quadrat"
13:52;13:55;"plus Beta Quadrat."
13:56;13:56;"So,"
13:56;13:58;"das sieht doch jetzt schon viel freundlicher aus."
13:58;13:59;"Was bekommen wir?"
13:59;14:03;"Z² minus 2 Alpha Z"
14:03;14:06;"plus Alpha Quadrat"
14:06;14:08;"plus Beta Quadrat."
14:08;14:10;"So,"
14:10;14:12;"und wenn wir uns das jetzt noch mal anschauen,"
14:12;14:14;"dann sehen wir hier doch,"
14:14;14:18;"das können wir doch irgendwie als binomische Formel aufschreiben."
14:18;14:21;"Da steht doch nichts anderes als"
14:21;14:25;"Z minus Alpha Quadrat"
14:25;14:28;"plus Beta Quadrat."
14:28;14:31;"Und das ist genau die Idee,"
14:31;14:33;"um so eine reelle Zerlegung zu bekommen."
14:33;14:36;"Wenn wir also solche Linearfaktoren,"
14:36;14:36;"Entschuldigung,"
14:36;14:38;"Linearfaktoren haben"
14:38;14:40;"und Z0 ist komplex,"
14:40;14:41;"dann ist Z0 quer auch komplex,"
14:41;14:44;"dann fassen wir diese einfach so zusammen"
14:44;14:45;"in dieser Form."
14:45;14:47;"Und hier wissen wir,"
14:47;14:49;"Alpha und Beta ist real."
14:49;14:51;"Hier taucht also nichts Komplexes auf."
14:51;14:52;"Also hier oben steht ja auch noch mal"
14:52;14:54;"Alpha, Beta aus R."
14:54;14:56;"Und das versuchen wir jetzt mal"
14:56;14:59;"an einem einfachen Beispiel zu zeigen."
14:59;15:03;"Das ist im Endeffekt genau das,"
15:03;15:04;"was hier steht."
15:04;15:06;"Und es ist halt die Frage,"
15:06;15:09;"wie viele komplexe Nullstellen wir haben."
15:09;15:10;"Wir wissen,"
15:10;15:11;"reelles Polynomen,"
15:11;15:13;"die tauchen also immer als Paar auf."
15:13;15:15;"Und es können ja auch mehrere Paare sein,"
15:15;15:18;"deswegen hier also das erste Paar"
15:18;15:19;"und das mte Paar."
15:19;15:22;"Und jetzt schauen wir uns das mal"
15:22;15:24;"an dem Polynom"
15:24;15:29;"p von Z gleich Z hoch 4"
15:29;15:31;"minus 1 an."
15:31;15:33;"Und das kommt Ihnen jetzt bekannt vor."
15:33;15:36;"Also wir suchen jetzt die Nullstellen"
15:36;15:37;"und wenn wir nochmal an die letzte"
15:37;15:38;"Vorlesung denken,"
15:38;15:39;"da haben wir das doch behandelt."
15:43;15:45;"bekannt aus Vorlesung 7."
15:45;15:50;"p hat folgende Nullstellen."
15:50;15:54;"Ja, welche waren das?"
15:54;15:58;"Das war einfach 1,"
15:58;16:01;"minus 1 i und minus i."
16:01;16:04;"So, dann bekommen wir jetzt automatisch,"
16:04;16:06;"das ist jetzt sozusagen gleich nochmal"
16:06;16:08;"auch die Wiederholung aus dem dritten Video,"
16:10;16:12;"Linearfaktor zur Legung"
16:12;16:14;"nach dem Fundamentalsatz der Algebra."
16:14;16:15;"Das heißt also,"
16:15;16:17;"p von Z"
16:17;16:19;"ist ja Z hoch 4 minus 1."
16:19;16:20;"Das können wir also schreiben"
16:20;16:23;"Z minus 1"
16:23;16:25;"mal Z plus 1"
16:25;16:28;"mal Z minus i"
16:28;16:30;"mal Z plus i."
16:30;16:31;"Das sind einfach"
16:31;16:33;"jeweils die passenden Terme"
16:33;16:34;"zu den Nullstellen."
16:34;16:36;"Wenn Sie also die 1"
16:36;16:36;"hier einsetzen,"
16:36;16:37;"wird das 0."
16:37;16:38;"Wenn Sie das hier einsetzen,"
16:38;16:39;"wird das 0."
16:39;16:40;"Wenn Sie das hier einsetzen,"
16:40;16:41;"wird das 0."
16:41;16:42;"Und wenn Sie das hier einsetzen,"
16:42;16:43;"wird das 0."
16:43;16:45;"Und wenn wir nochmal an den Fundamentalsatz"
16:45;16:46;"zurückdenken,"
16:46;16:48;"da hatte ich Ihnen noch gesagt,"
16:48;16:51;"dieses a n"
16:51;16:52;"nicht vergessen,"
16:52;16:53;"aber a n"
16:53;16:55;"ist jetzt hier einfach nur 1 mal."
16:55;16:57;"Deswegen steht jetzt hier gedanklich"
16:57;16:57;"eine 1."
16:57;16:59;"Deswegen ist das auch alles richtig."
16:59;17:01;"Und das, was wir jetzt hier sehen,"
17:01;17:02;"das ist also"
17:02;17:07;"die Zerlegung"
17:07;17:08;"von p"
17:08;17:10;"in komplexe Linearfaktoren."
17:25;17:26;"Das ist jetzt aber eigentlich"
17:26;17:27;"noch nicht der Satz,"
17:27;17:28;"den wir eigentlich behandeln."
17:28;17:30;"Wir sind ja jetzt"
17:30;17:31;"bei den reellen Polynomen."
17:31;17:31;"Wir wollen jetzt"
17:31;17:32;"eine reelle Zerlegung."
17:32;17:33;"Und was machen wir"
17:33;17:34;"bei der reellen Zerlegung?"
17:34;17:36;"Wir schauen uns also"
17:36;17:37;"die komplexen Nullstellen an."
17:37;17:38;"Da haben wir die 2."
17:38;17:41;"Und die passenden Ausdrücke,"
17:41;17:42;"die passenden komplexen"
17:42;17:43;"Linearfaktoren,"
17:43;17:45;"die sind hier."
17:45;17:47;"Und wenn wir nochmal"
17:47;17:47;"nach oben schauen,"
17:47;17:49;"aha, das haben wir doch schon"
17:49;17:51;"getan im abstrakten Sinne"
17:51;17:52;"und bekommen dann"
17:52;17:54;"diese Schreibweise dafür."
17:54;17:55;"machen wir das mal."
17:55;17:57;"Das heißt also,"
17:57;17:58;"was gilt hier?"
17:58;18:04;"Z minus i"
18:04;18:05;"mal"
18:05;18:07;"Z plus i."
18:07;18:08;"Das wollen wir zusammenfassen."
18:08;18:11;"Ja, und was ist das jetzt?"
18:11;18:13;"Also im Endeffekt"
18:13;18:14;"verwende ich jetzt"
18:14;18:16;"diesen Ausdruck hier."
18:23;18:25;"So, jetzt schauen wir mal."
18:25;18:28;"Also die Nullstelle war ja"
18:28;18:30;"Alpha plus i Beta."
18:30;18:31;"Ja, so."
18:31;18:33;"Was haben wir da jetzt stehen?"
18:33;18:33;"Jetzt angewandt"
18:33;18:35;"auf unseren Fall."
18:35;18:36;"Unsere Nullstelle ist jetzt"
18:36;18:37;"aber i."
18:37;18:39;"Ja, das heißt also"
18:39;18:41;"Alpha ist 0"
18:41;18:43;"und Beta ist 1."
18:46;18:47;"Das heißt, hier steht"
18:47;18:48;"z minus 0"
18:48;18:50;"Quadrat"
18:50;18:53;"plus 1 Quadrat"
18:53;18:54;"und das ist einfach"
18:54;18:55;"z Quadrat"
18:55;18:57;"plus 1."
18:57;18:58;"Und das"
18:58;18:59;"ersetzen wir jetzt"
18:59;19:01;"einfach diesen Ausdruck hier."
19:01;19:02;"Den schreiben wir jetzt"
19:02;19:04;"für diesen Ausdruck"
19:04;19:05;"und bekommen dann"
19:05;19:06;"die reelle"
19:06;19:07;"Zolllegung"
19:07;19:07;"gemäß"
19:07;19:08;"Satz 8."
19:12;19:13;"Das heißt also"
19:13;19:14;"z hoch 4"
19:14;19:15;"minus 1"
19:15;19:15;"können wir schreiben"
19:15;19:18;"als z minus 1"
19:18;19:20;"z plus 1"
19:20;19:21;"und jetzt steht hier"
19:21;19:22;"z Quadrat"
19:22;19:23;"plus 1"
19:23;19:25;"und ja,"
19:25;19:25;"das sind eben"
19:25;19:26;"reelle"
19:26;19:26;"quadratische"
19:26;19:27;"Faktoren."
19:29;19:30;"Das heißt,"
19:30;19:30;"hier taucht also"
19:30;19:31;"jetzt nichts"
19:31;19:32;"Komplexes mehr auf"
19:32;19:33;"und das ist dann eben"
19:33;19:37;"die reelle"
19:37;19:37;"Zolllegung."
19:37;19:46;"Vergleich dazu eben"
19:46;19:48;"Satz 8"
19:48;19:50;"und wie gesagt,"
19:50;19:50;"wenn Sie weitere"
19:50;19:51;"komplexe Nullstellen"
19:51;19:52;"haben,"
19:52;19:53;"dann bekommen Sie eben"
19:53;19:54;"mehrere solche Faktoren,"
19:54;19:56;"also Faktoren"
19:56;19:58;"Faktoren"
19:58;20:00;"in dieser Form."
20:00;20:02;"Gut,"
20:02;20:02;"ich denke,"
20:02;20:03;"das genügt jetzt"
20:03;20:04;"erstmal zu dieser"
20:04;20:05;"Vorlesung vielleicht"
20:05;20:05;"eine letzte"
20:05;20:08;"Folie noch,"
20:08;20:08;"die wir uns noch"
20:08;20:09;"anschauen wollen."
20:09;20:11;"Die soll Sie jetzt"
20:11;20:12;"aber nicht demotivieren."
20:12;20:14;"Ich hatte ja schon gesagt,"
20:14;20:15;"es ist nicht so einfach"
20:15;20:15;"in Nullstellen"
20:15;20:16;"von Polynomen"
20:16;20:17;"zu finden"
20:17;20:18;"und hier sehen Sie"
20:18;20:19;"nochmal so kurz"
20:19;20:19;"einen Vergleich."
20:19;20:21;"Klar,"
20:21;20:22;"für n gleich 1"
20:22;20:22;"da haben wir"
20:22;20:23;"so ein Polynom,"
20:23;20:23;"da können wir"
20:23;20:24;"die Nullstelle"
20:24;20:25;"die einzige"
20:25;20:26;"direkt angeben."
20:26;20:27;"Für n gleich 2"
20:27;20:29;"quadratische"
20:29;20:29;"Gleichung"
20:29;20:29;"haben wir"
20:29;20:31;"die pq-Formel"
20:31;20:32;"und dann fängt es"
20:32;20:33;"eigentlich schon an"
20:33;20:34;"kompliziert zu werden,"
20:34;20:35;"also für n gleich 3"
20:35;20:36;"sogenannte"
20:36;20:37;"kubische Gleichung,"
20:37;20:38;"da bekommt man"
20:38;20:39;"die sogenannten"
20:39;20:40;"kardanischen Formeln,"
20:40;20:40;"die werden wir"
20:40;20:41;"in diesem Kurs"
20:41;20:42;"auch nicht behandeln"
20:42;20:43;"und die werden Sie"
20:43;20:43;"vielleicht auch nie"
20:43;20:44;"zu Gesicht bekommen,"
20:44;20:45;"aber die sind"
20:45;20:46;"sehr kompliziert"
20:46;20:47;"und die möchte man"
20:47;20:48;"eigentlich auch"
20:48;20:49;"nicht ausrechnen."
20:49;20:50;"Deswegen macht man"
20:50;20:50;"ja auch beim"
20:50;20:51;"Polynom dritten"
20:51;20:52;"gerade immer die"
20:52;20:53;"beste Idee"
20:53;20:54;"die eine Nullstelle"
20:54;20:55;"zu raten,"
20:55;20:56;"Polynom-Division"
20:56;20:57;"abspalten"
20:57;20:58;"und dann die"
20:58;20:59;"anderen beiden"
20:59;21:00;"zu bekommen,"
21:00;21:01;"indem man"
21:01;21:02;"das übrig gebliebene"
21:02;21:02;"Polynom,"
21:02;21:03;"die quadratische"
21:03;21:04;"Gleichung löst."
21:04;21:06;"n gleich 4"
21:06;21:07;"sind ebenfalls"
21:07;21:08;"komplizierte"
21:08;21:09;"Formeln,"
21:09;21:10;"da gibt es"
21:10;21:10;"Formeln von"
21:10;21:11;"Ferrari,"
21:11;21:11;"der wiederum"
21:11;21:12;"ein Schüler"
21:12;21:13;"von Cardano war,"
21:13;21:14;"deswegen hier"
21:14;21:14;"kardanische"
21:14;21:15;"Formeln."
21:15;21:16;"Auch Cardano"
21:16;21:16;"und Euler"
21:16;21:17;"haben hier"
21:17;21:19;"Sachen entwickelt,"
21:19;21:19;"also für"
21:19;21:20;"Spezialfälle"
21:20;21:21;"gibt es etwas"
21:21;21:21;"und jetzt"
21:21;21:22;"kommt das"
